Business Name,Company Type,Rating,Reviews,Address,Phone Number,Website,Email,Instagram,LinkedIn,Facebook,URL
Fix Salon Seattle,Hair salon,4.7,518,"6027 Roosevelt Way NE #6610, Seattle, WA 98115",'+12069928119,http://fixsalonseattle.com/,contactus@fixsalonseattle.com,https://www.instagram.com/fancyfinish/,,https://www.facebook.com/FixSalonSeattle/?ref=hl,https://www.google.com/maps/place/Fix+Salon+Seattle/data=!4m7!3m6!1s0x549014658e17a049:0x676150f83dc2b03c!8m2!3d47.6727762!4d-122.3175168!16s%2Fg%2F1tflm3tk!19sChIJSaAXjmUUkFQRPLDCPfhQYWc?authuser=0&hl=en&rclk=1
Fringe Hair Salon,Hair salon,4.7,330,"402 NE 71st St, Seattle, WA 98115",'+12063645500,https://fringeseattle.com/,info@fringeseattle.com,https://www.instagram.com/fringeseattle/,,https://www.facebook.com/fringeseattle,https://www.google.com/maps/place/Fringe+Hair+Salon/data=!4m7!3m6!1s0x5490141748bf383f:0x2506ffa71ebe1031!8m2!3d47.6800676!4d-122.3242991!16s%2Fg%2F1vspr5xp!19sChIJPzi_SBcUkFQRMRC-Hqf_BiU?authuser=0&hl=en&rclk=1
Industry Salon,Hair salon,4.8,382,"801 E Thomas St Suite B, Seattle, WA 98102",'+12065880570,https://www.industry-salon.com/,industrysalonseattle@gmail.com,https://www.instagram.com/josephinerice.flower/,,https://www.facebook.com/industrysalonseattle/,https://www.google.com/maps/place/Industry+Salon/data=!4m7!3m6!1s0x5490153276a30acd:0x18c45dbd80726da5!8m2!3d47.6209539!4d-122.3218156!16s%2Fg%2F11df1vd21z!19sChIJzQqjdjIVkFQRpW1ygL1dxBg?authuser=0&hl=en&rclk=1
Antonio Salon,Hair salon,4.8,479,"113 Virginia St, Seattle, WA 98101",'+12067357566,http://www.antoniothesalon.com/,antonio@antoniothesalon.com,http://instagram.com/antoniothesalon,,http://facebook.com/antoniothesalon,https://www.google.com/maps/place/Antonio+Salon/data=!4m7!3m6!1s0x5490154cd713e715:0xd6bb3178bdb26c15!8m2!3d47.6112407!4d-122.3421725!16s%2Fg%2F12qhc44fg!19sChIJFecT10wVkFQRFWyyvXgxu9Y?authuser=0&hl=en&rclk=1
Super Hair Salon,Hair salon,4.8,109,"8072 Lake City Way NE # A, Seattle, WA 98115",'+12065260569,,,,,,https://www.google.com/maps/place/Super+Hair+Salon/data=!4m7!3m6!1s0x5490140a9e18f113:0x4dc07906acacfa32!8m2!3d47.6878658!4d-122.3114632!16s%2Fg%2F1tf5__3b!19sChIJE_EYngoUkFQRMvqsrAZ5wE0?authuser=0&hl=en&rclk=1
Liana Hair Salon,Beauty salon,4.8,299,"1125 E Olive St, Seattle, WA 98122",'+12068604835,https://www.facebook.com/pages/Liana-Hair-Salon/134167879961117,,,,https://www.facebook.com/login/device-based/regular/login/?login_attempt=1&next=https%3A%2F%2Fwww.facebook.com%2Fpages%2FLiana-Hair-Salon%2F134167879961117,https://www.google.com/maps/place/Liana+Hair+Salon/data=!4m7!3m6!1s0x54906acd746c6bef:0xf2b9ef29651ee46b!8m2!3d47.616085!4d-122.3170886!16s%2Fg%2F1tfbbvzr!19sChIJ72tsdM1qkFQRa-QeZSnvufI?authuser=0&hl=en&rclk=1
Nola,Hair salon,4.9,124,"1090 N Northlake Way, Seattle, WA 98103",'+12064026651,http://nolaseattle.com/,,,,,https://www.google.com/maps/place/Nola/data=!4m7!3m6!1s0x54901503da3baa7f:0x644c48602dfd0c9a!8m2!3d47.6485139!4d-122.3433502!16s%2Fg%2F1w6_njdl!19sChIJf6o72gMVkFQRmgz9LWBITGQ?authuser=0&hl=en&rclk=1
Scream Salon,Hair salon,4.7,300,"723 E Pike St, Seattle, WA 98122",'+12068618468,http://screamseattle.com/,screamhair2011@gmail.com,https://www.instagram.com/screamseattle/,,https://www.facebook.com/screamseattle,https://www.google.com/maps/place/Scream+Salon/data=!4m7!3m6!1s0x5490153276270a21:0xe050e6acc9975de6!8m2!3d47.6139056!4d-122.3224358!16s%2Fg%2F1tvylgmz!19sChIJIQondjIVkFQR5l2XyazmUOA?authuser=0&hl=en&rclk=1
Falali Hair Salon,Hair salon,4.8,428,"623 S King St, Seattle, WA 98104",'+12064834666,https://www.falalihairsalon.com/,falalisquare@gmail.com,,,,https://www.google.com/maps/place/Falali+Hair+Salon/data=!4m7!3m6!1s0x54906b9a83c47fdf:0x763deea5c16fdab2!8m2!3d47.5982438!4d-122.3252977!16s%2Fg%2F11st89v3sp!19sChIJ33_Eg5prkFQRstpvwaXuPXY?authuser=0&hl=en&rclk=1
Sensa Salon,Hair salon,4.6,543,"1012 1st Ave, Seattle, WA 98104",'+12063952060,http://sensasalon.com/,frontdesk@sensasalon.com,https://www.instagram.com/sensasalon/,,https://www.facebook.com/SensaSalon,https://www.google.com/maps/place/Sensa+Salon/data=!4m7!3m6!1s0x54906ab1925fcca3:0xa476f70d7f74d112!8m2!3d47.6052242!4d-122.3363385!16s%2Fg%2F11rvv4zbc!19sChIJo8xfkrFqkFQREtF0fw33dqQ?authuser=0&hl=en&rclk=1
Robert Leonard Salon & Spa,Hair salon,4.7,215,"2033 6th Ave #151, Seattle, WA 98121",'+12064419900,https://www.robertleonard.net/,info@robertleonard.net,https://www.instagram.com/rlsalonseattle/,,https://www.facebook.com/rlsalonseattle/,https://www.google.com/maps/place/Robert+Leonard+Salon+%26+Spa/data=!4m7!3m6!1s0x5490154ba18112f9:0xe3d32af5b5374b78!8m2!3d47.6145956!4d-122.3391742!16s%2Fg%2F1x5qsg_h!19sChIJ-RKBoUsVkFQReEs3tfUq0-M?authuser=0&hl=en&rclk=1
Lady Neptune Salon,Hair salon,5.0,253,"5611 University Wy NE #100A, Seattle, WA 98105",'+17244262808,https://www.ladyneptunesalon.com/,hello.ladyneptune@gmail.com,https://www.instagram.com/ladyneptunesalon/,,https://www.facebook.com/ladyneptunesalon,https://www.google.com/maps/place/Lady+Neptune+Salon/data=!4m7!3m6!1s0x5490154d580f8e6b:0x9c1fe60047bbfb6!8m2!3d47.6698713!4d-122.3133095!16s%2Fg%2F11tt92x37m!19sChIJa44PWE0VkFQRtr97BGD-wQk?authuser=0&hl=en&rclk=1
Grow Salon,Hair salon,4.7,152,"1540 NW 56th St, Seattle, WA 98107",'+12062976385,http://www.growsalonseattle.com/,info@growecosalon.com,https://instagram.com/growsalon,,,https://www.google.com/maps/place/Grow+Salon/data=!4m7!3m6!1s0x549015c921aa1ecb:0xb1b044116258e9ff!8m2!3d47.6696023!4d-122.3780227!16s%2Fg%2F11gzfywt0!19sChIJyx6qIckVkFQR_-lYYhFEsLE?authuser=0&hl=en&rclk=1
"Love, June Salon",Hair salon,4.7,73,"619 Queen Anne Ave N, Seattle, WA 98109",'+12065194690,http://www.lovejunesalon.com/,hello@lovejunesalon.com,https://www.instagram.com/lovejunesalon/,,,"https://www.google.com/maps/place/Love,+June+Salon/data=!4m7!3m6!1s0x5490155e3ae52b83:0x1d42ae3c75360f9f!8m2!3d47.6251997!4d-122.3570048!16s%2Fg%2F11rfdk7w_p!19sChIJgyvlOl4VkFQRnw82dTyuQh0?authuser=0&hl=en&rclk=1"
Haven Salon,Hair salon,4.7,133,"5810 24th Ave NW, Seattle, WA 98107",'+12067830537,http://www.haven-salon.com/,,,,,https://www.google.com/maps/place/Haven+Salon/data=!4m7!3m6!1s0x549015c56e12bc2f:0xb99db0fe5f91315b!8m2!3d47.6713196!4d-122.387352!16s%2Fg%2F1tjyt9kv!19sChIJL7wSbsUVkFQRWzGRX_6wnbk?authuser=0&hl=en&rclk=1
Salon Voda,Hair salon,4.5,44,"514 Terry Ave N, Seattle, WA 98109",'+12068388632,http://www.salonvoda.com/,,https://www.instagram.com/salonvoda/,,https://www.facebook.com/salonvoda/,https://www.google.com/maps/place/Salon+Voda/data=!4m7!3m6!1s0x5490153a57d27e6f:0xd84c1946805b9875!8m2!3d47.623781!4d-122.3369167!16s%2Fg%2F1td7m_zv!19sChIJb37SVzoVkFQRdZhbgEYZTNg?authuser=0&hl=en&rclk=1
Salon Q.E.,Hair salon,4.8,92,"2520 1st Ave, Seattle, WA 98121",'+12064410304,http://www.salonqe.com/,salonqe@salonqe.com,https://www.instagram.com/salon_qe/,,https://www.facebook.com/jonathanflint.salonqe/,https://www.google.com/maps/place/Salon+Q.E./data=!4m7!3m6!1s0x5490154e6bb108c9:0x4acf48f47cab134a!8m2!3d47.6152618!4d-122.3492892!16s%2Fg%2F11b8_7r4nn!19sChIJyQixa04VkFQRShOrfPRIz0o?authuser=0&hl=en&rclk=1
Salon Refine,Hair salon,4.6,152,"900 Lenora St # 124, Seattle, WA 98121",'+12065881062,http://www.salonrefine.com/,info@salonrefine.com,http://instagram.com/salon_refine,,http://facebook.com/salonrefine,https://www.google.com/maps/place/Salon+Refine/data=!4m7!3m6!1s0x54901549f7dd8d37:0xf54ed8e9defbc92f!8m2!3d47.6180458!4d-122.3379512!16s%2Fg%2F11clfrh_f3!19sChIJN43d90kVkFQRL8n73unYTvU?authuser=0&hl=en&rclk=1
Beehive Salon,Hair salon,4.6,138,"424 Queen Anne Ave N, Seattle, WA 98109",'+12065471510,http://www.beehivesalon.com/,,https://www.instagram.com/accounts/login/?next=/beehive_salon/,,https://www.facebook.com/beehivesalon,https://www.google.com/maps/place/Beehive+Salon/data=!4m7!3m6!1s0x54901443528722cf:0x250bfafa0db7cc3e!8m2!3d47.6229057!4d-122.3564557!16s%2Fg%2F1tgf2xyf!19sChIJzyKHUkMUkFQRPsy3Dfr6CyU?authuser=0&hl=en&rclk=1
